date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:10	78549/78549	---M-Z	200	added ('OK')	text/html	etag:%22132d5-59e6e725886b7-gzip%22	https://themesbrand.com/veltrix/layouts/vertical/index-dark.html	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/index-dark.html	(from )
10:55:11	278/278	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2009:55:09%20GMT	https://themesbrand.com/robots.txt		(from )
10:55:11	11512/11512	---M-Z	200	added ('OK')	text/css	etag:%222cf8-59e6e7253d392-gzip%22	https://themesbrand.com/veltrix/layouts/vertical/assets/libs/chartist/chartist.min.css	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/assets/libs/chartist/chartist.min.css	(from https://themesbrand.com/veltrix/layouts/vertical/index-dark.html)
10:55:12	111690/111690	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221b44a-59b27680fc156%22	https://themesbrand.com/veltrix/layouts/vertical/assets/images/favicon.ico	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/assets/images/favicon.ico	(from https://themesbrand.com/veltrix/layouts/vertical/index-dark.html)
10:55:12	183373/183373	---M-Z	200	added ('OK')	text/css	etag:%222cc4d-59e6e7251c050-gzip%22	https://themesbrand.com/veltrix/layouts/vertical/assets/css/bootstrap-dark.min.css	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/assets/css/bootstrap-dark.min.css	(from https://themesbrand.com/veltrix/layouts/vertical/index-dark.html)
10:55:13	61497/61497	---M-Z	200	added ('OK')	text/css	etag:%22f039-5a2da970c1f98-gzip%22	https://themesbrand.com/veltrix/layouts/vertical/assets/css/app-dark.min.css	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/assets/css/app-dark.min.css	(from https://themesbrand.com/veltrix/layouts/vertical/index-dark.html)
10:55:13	338186/338186	---MCZ	200	added ('OK')	text/css	etag:%225290a-59e6e7251df90-gzip%22	https://themesbrand.com/veltrix/layouts/vertical/assets/css/icons.min.css	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/assets/css/icons.min.css	(from https://themesbrand.com/veltrix/layouts/vertical/index-dark.html)
10:55:13	78534/78534	---M-Z	200	added ('OK')	text/html	etag:%22132c6-59e6e725886b7-gzip%22	https://themesbrand.com/veltrix/layouts/vertical/index.html	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/index.html	(from https://themesbrand.com/veltrix/layouts/vertical/index-dark.html)
10:55:14	778/778	---M--	200	added ('OK')	image/svg+xml	etag:%2230a-59e6e72533752%22	https://themesbrand.com/veltrix/layouts/vertical/assets/images/logo.svg	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/assets/images/logo.svg	(from https://themesbrand.com/veltrix/layouts/vertical/index-dark.html)
10:55:14	8350/8350	---M--	200	added ('OK')	image/png	etag:%22209e-59b27680fe096%22	https://themesbrand.com/veltrix/layouts/vertical/assets/images/logo-dark.png	C:/xampp/htdocs/finalp/han/themesbrand.com/veltrix/layouts/vertical/assets/images/logo-dark.png	(from https://themesbrand.com/veltrix/layouts/vertical/index-dark.html)
